,hex,MEAN
1,hex_1,4429.366875
2,hex_2,3533.626781
3,hex_3,3513.683111
4,hex_4,4576.968308
5,hex_5,2902.155908
6,hex_6,2782.499024
7,hex_7,2141.265223
8,hex_8,3265.559099
9,hex_9,1968.099092
10,hex_10,2905.777369
11,hex_11,3942.888355
12,hex_12,3069.247074
13,hex_13,3371.293679
14,hex_14,3535.42716
15,hex_15,2326.177747
16,hex_16,3041.374064
17,hex_17,2375.78689
18,hex_18,3728.079789
19,hex_19,2643.505627
20,hex_20,2354.158413
21,hex_21,2880.808847
22,hex_22,4110.958419
23,hex_23,2927.459459
24,hex_24,2468.321612
25,hex_25,2040.048327
26,hex_26,1935.424064
27,hex_27,2597.291769
28,hex_28,2634.858746
29,hex_29,3538.531326
30,hex_30,2550.586123
31,hex_31,2856.968103
32,hex_32,1853.091936
33,hex_33,2636.238111
34,hex_34,2435.832528
35,hex_35,3388.245228
36,hex_36,2538.767979
37,hex_37,954.226902
38,hex_38,3026.094241
39,hex_39,3346.530829
40,hex_40,3387.653881
41,hex_41,2073.738931
42,hex_42,3009.445652
43,hex_43,3345.923177
44,hex_44,2385.365789
45,hex_45,2855.075742
46,hex_46,2442.450388
47,hex_47,2237.170531
48,hex_48,3452.97084
49,hex_49,1390.84709
50,hex_50,2576.491362
51,hex_51,2156.861844
52,hex_52,1821.083935
53,hex_53,3745.612689
54,hex_54,3489.750262
55,hex_55,2688.885354
56,hex_56,1174.267318
57,hex_57,1693.043556
58,hex_58,3421.449627
59,hex_59,3428.93383
60,hex_60,2016.664776
61,hex_61,1935.889762
62,hex_62,2906.390127
63,hex_63,4228.147066
64,hex_64,2550.69911
65,hex_65,1738.546966
66,hex_66,1847.013238
67,hex_67,3500.521751
68,hex_68,1903.422374
69,hex_69,3411.728736
70,hex_70,2057.445232
71,hex_71,3473.932159
72,hex_72,2394.653558
73,hex_73,3470.742451
74,hex_74,2261.046723
75,hex_75,2973.149283
76,hex_76,2329.014161
77,hex_77,3008.822139
78,hex_78,2975.347054
79,hex_79,2509.923124
80,hex_80,2113.825874
81,hex_81,2458.254329
82,hex_82,2901.101786
83,hex_83,2428.443868
84,hex_84,2182.381763
85,hex_85,2595.492673
86,hex_86,2177.193972
87,hex_87,2283.195779
88,hex_88,1776.475554
89,hex_89,2082.771091
90,hex_90,2518.118723
91,hex_91,2279.587607
92,hex_92,1023.301862
93,hex_93,3316.497465
94,hex_94,2724.44789
95,hex_95,1869.765154
96,hex_96,3018.133315
97,hex_97,2245.389516
98,hex_98,1915.882527
99,hex_99,3644.37203
100,hex_100,2168.959938
101,hex_101,2798.196222
102,hex_102,2733.200511
103,hex_103,2785.066952
104,hex_104,2505.484028
105,hex_105,2545.304939
106,hex_106,3386.818101
107,hex_107,2701.525496
108,hex_108,3306.736581
109,hex_109,2553.084658
110,hex_110,2866.358271
111,hex_111,4094.116291
112,hex_112,3867.899137
113,hex_113,3662.649414
114,hex_114,2499.151062
115,hex_115,1807.289117
116,hex_116,2786.513838
117,hex_117,2421.413077
118,hex_118,3007.95709
119,hex_119,2288.294899
120,hex_120,2958.672475
121,hex_121,2052.799395
122,hex_122,2343.445597
123,hex_123,1446.411179
124,hex_124,1273.284814
125,hex_125,2746.963047
126,hex_126,2156.978701
127,hex_127,3293.62006
128,hex_128,3793.725516
129,hex_129,4003.813529
130,hex_130,3592.69199
131,hex_131,4876.54356
132,hex_132,4084.645439
133,hex_133,3141.74685
134,hex_134,1629.492389
135,hex_135,4215.073585
136,hex_136,3144.435433
137,hex_137,4475.205651
138,hex_138,5673.334742
139,hex_139,5405.506836
140,hex_140,2526.688109
141,hex_141,2645.578025
142,hex_142,3652.277855
143,hex_143,5265.37947
144,hex_144,2456.509211
145,hex_145,4640.256712
146,hex_146,3441.412464
147,hex_147,2125.417439
148,hex_148,2451.300211
149,hex_149,4157.169817
150,hex_150,1819.146362
151,hex_151,2809.094544
152,hex_152,2813.567227
153,hex_153,3549.801102
154,hex_154,1519.414365
155,hex_155,3978.630173
156,hex_156,2156.957852
157,hex_157,4879.768296
158,hex_158,3134.809703
159,hex_159,4348.838133
160,hex_160,2556.924575
161,hex_161,3406.447914
162,hex_162,2773.068016
163,hex_163,4660.482997
164,hex_164,3269.733986
165,hex_165,4827.893611
166,hex_166,2659.02624
167,hex_167,4528.577068
168,hex_168,3249.898978
169,hex_169,2895.541121
170,hex_170,4087.658699
171,hex_171,3833.111909
172,hex_172,4741.557283
173,hex_173,4836.366442
174,hex_174,4717.556348
175,hex_175,3084.074719
176,hex_176,5287.640213
177,hex_177,3572.201952
178,hex_178,4797.390486
179,hex_179,3000.397403
180,hex_180,1743.526021
181,hex_181,2178.152698
182,hex_182,3431.908584
183,hex_183,2215.203457
184,hex_184,2632.390423
185,hex_185,4032.999128
186,hex_186,3215.639087
187,hex_187,3835.114759
188,hex_188,3052.410374
189,hex_189,3688.623959
190,hex_190,4905.780897
191,hex_191,1941.570773
192,hex_192,3039.635041
193,hex_193,1888.919779
194,hex_194,2180.045536
195,hex_195,1971.489512
196,hex_196,3683.969227
197,hex_197,1665.747115
198,hex_198,2757.371851
199,hex_199,4887.821488
200,hex_200,2218.774146
201,hex_201,3232.079884
202,hex_202,3626.5897
203,hex_203,3410.666477
204,hex_204,2654.279137
205,hex_205,3626.696347
206,hex_206,1363.037028
207,hex_207,1935.795255
